place_id,canonical_name,chapter_index,chapter_title,cell_index,matched_aliases,close_reading_url,snippet
thoreau_main_street_home,Thoreau family house on Main Street,7,6: A Night at the Lyceum,38,Main Street; third-floor attic room,https://closereading.rahuldave.us/books/125/chapters/6967#cell-38,"...e remembered the library book he had checked out earlier that day. It sat on the desk in his third-floor attic room, its spine unopened, its pages uncut. It dealt with facts and observations, not abstractions, and it beckoned like a siren. After a short walk to his mother’s house on Main Street, he c..."
thoreau_main_street_home,Thoreau family house on Main Street,8,7: The Nick of Time,3,Main Street; attic study,https://closereading.rahuldave.us/books/125/chapters/6968#cell-3,"...ason, Thoreau descended from the third-story attic of his mother’s renovated yellow house on Main Street, put on a battered hat, and spent at least four hours sauntering (his word) through the woodlots and forests and pastures that surrounded Concord. Like a window-shopper strolling the bo..."
thoreau_main_street_home,Thoreau family house on Main Street,16,15: Wildfires,38,Main Street,https://closereading.rahuldave.us/books/125/chapters/6976#cell-38,"...nces of human activity. One day toward the end of March he left his mother’s yellow house on Main Street and walked several miles to the nearby town of Acton, where a forest fire had recently consumed a thousand acres of timber. Here was an opportunity to observe a landscape wiped clean, a..."
thoreau_main_street_home,Thoreau family house on Main Street,20,19: The Succession of Forest Trees,3,Main Street,https://closereading.rahuldave.us/books/125/chapters/6980#cell-3,"...two o’clock the weather had cleared enough to allow the marching band to escort a crowd down Main Street and into the Town Hall, where Thoreau delivered what became his most widely read piece of writing during his lifetime. “The Succession of Forest Trees” was soon reprinted in newspapers ..."
sanborn_house_sudbury_road,Franklin Sanborn / Channing-Fuller-Sanborn house candidate,2,1: The Book from Across the Atlantic,2,house on Sudbury Road,https://closereading.rahuldave.us/books/125/chapters/6962#cell-2,"The house on Sudbury Road belonged to Franklin Benjamin Sanborn, the schoolmaster of a small private academy in Concord, Massachusetts. It was sizable, but then so was Sanborn—so tall and lanky that a Concord fa..."
sanborn_house_sudbury_road,Franklin Sanborn / Channing-Fuller-Sanborn house candidate,2,1: The Book from Across the Atlantic,25,his home on Sudbury Road,https://closereading.rahuldave.us/books/125/chapters/6962#cell-25,"...Charles Loring Brace to the Concord train station. He sat at his desk on the second floor of his home on Sudbury Road and wrote the abolitionist minister Theodore Parker, who was in Italy at the moment. (Parker was trying to recover from tuberculosis, a disease that would kill him in several months.) S..."
sanborn_house_sudbury_road,Franklin Sanborn / Channing-Fuller-Sanborn house candidate,17,16: Discord in Concord,34,Sudbury Road,https://closereading.rahuldave.us/books/125/chapters/6977#cell-34,"A carriage was waiting on Sudbury Road, and the group lifted Sanborn off his feet and approached it. He smashed its door. According to Edward Emerson, who was one of the first to arrive at the scene, Sanborn, “encompassed by..."
concord_lyceum,Concord Town House / Concord Lyceum,0,Front Matter,81,the Lyceum,https://closereading.rahuldave.us/books/125/chapters/6960#cell-81,6 A Night at the Lyceum
concord_lyceum,Concord Town House / Concord Lyceum,5,4: Word of Mouth,14,Concord Lyceum,https://closereading.rahuldave.us/books/125/chapters/6965#cell-14,"...latives until New Year’s Day, when he was scheduled to lecture some twenty miles away at the Concord Lyceum. He took Gray’s copy of the *Origin *with him*, *reading it on the train and introducing the work to Sanborn, Alcott, and Thoreau over dinner. In a matter of days he had completely devo..."
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,1,the Lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-1,A Night at the Lyceum
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,2,Concord Lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-2,"...o Canada for the second time—Amos Bronson Alcott walked into town, ascended the steps of the Concord Lyceum, and took a seat near the podium. He clasped his gold-headed cane before him, nodded his head to neighbors and acquaintances. Whenever the opportunity presented itself, he talked."
concord_lyceum,Concord Town House / Concord Lyceum,7,6: A Night at the Lyceum,8,lyceum,https://closereading.rahuldave.us/books/125/chapters/6967#cell-8,"... these ministers, writers, and philosophers met in one another’s homes, attended sermons and lyceum lectures, and filled newspapers and journals with examples of the “New Thought.”"
